IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.34.58,8,8,0.00,230.64,9.04
172.64.175.82,8,8,0.00,242.29,8.81
172.64.161.193,8,8,0.00,238.96,8.81
162.159.39.244,8,8,0.00,199.77,8.80
162.251.82.132,8,8,0.00,201.47,8.80
154.85.99.155,8,8,0.00,239.33,8.79
162.159.42.177,8,8,0.00,224.66,8.76
172.64.207.59,8,8,0.00,245.18,8.75
162.159.38.163,8,8,0.00,202.39,8.74
162.159.45.29,8,8,0.00,178.98,8.73
162.159.35.26,8,8,0.00,191.90,8.73
172.64.40.149,8,8,0.00,196.54,8.72
162.159.44.52,8,8,0.00,177.53,8.71
172.64.197.71,8,8,0.00,237.38,8.47
162.159.43.213,8,8,0.00,187.51,8.31
104.26.11.145,8,8,0.00,122.86,0.91
104.26.10.197,8,8,0.00,126.27,0.53
104.20.26.171,8,8,0.00,120.91,0.51
162.159.140.215,8,8,0.00,120.83,0.50
167.235.68.143,8,8,0.00,188.41,0.00
172.65.230.232,8,8,0.00,136.19,0.00
146.19.22.34,8,8,0.00,202.90,0.00
147.78.121.252,8,8,0.00,202.97,0.00
136.244.103.24,8,8,0.00,203.25,0.00
172.65.224.238,8,8,0.00,136.56,0.00
154.84.16.97,8,8,0.00,197.09,0.00
185.173.35.147,8,8,0.00,231.32,0.00
194.87.58.130,8,8,0.00,196.43,0.00
136.244.111.109,8,8,0.00,195.50,0.00
194.87.59.89,8,8,0.00,193.02,0.00
154.219.2.155,8,8,0.00,67.38,0.00
154.84.24.116,8,8,0.00,66.22,0.00
